Species,Genus,Family
Cacao swollen shoot Ghana K virus,Badnavirus,Caulimoviridae
Chino del tomate virus,Begomovirus,Geminiviridae
Maize rough dwarf virus,Fijivirus,Spinareoviridae
Teetrevirus SM93Y,Teetrevirus,Autographiviridae
Alphabaculovirus crypeltasicae,Alphabaculovirus,Baculoviridae
Sugarcane striate virus,Mastrevirus,Geminiviridae
Tomato yellow vein streak virus,Begomovirus,Geminiviridae
Bean dwarf mosaic virus,Begomovirus,Geminiviridae
Streptococcus phage CHPC873,Moineauvirus,Aliceevansviridae
Cowpea polerovirus 1,Polerovirus,Solemoviridae
Pospiviroid plvd,Pospiviroid,Pospiviroidae
Umbravirus papaveri,Umbravirus,Tombusviridae
Pepper veinal mottle virus,Potyvirus,Potyviridae
Sida golden mosaic virus,Begomovirus,Geminiviridae
Tequatrovirus gizh,Tequatrovirus,Straboviridae
Dianthovirus dianthi,Dianthovirus,Tombusviridae
Gammapapillomavirus 6,Gammapapillomavirus,Papillomaviridae
Tomato leaf curl New Delhi virus 4,Begomovirus,Geminiviridae
Areca palm velarivirus 1,Velarivirus,Closteroviridae
African green monkey simian foamy virus,Spumavirus,Retroviridae
Alphapolyomavirus ranorvegicus,Alphapolyomavirus,Polyomaviridae
Melon aphid-borne yellows virus,Polerovirus,Solemoviridae
Alphabaculovirus capomonae,Alphabaculovirus,Baculoviridae
Methovirus lutivicinum,Methovirus,Fiersviridae
Dichorhavirus leprosis,Dichorhavirus,Rhabdoviridae
Linda virus,Pestivirus,Flaviviridae
Silviavirus SA11,Silviavirus,Herelleviridae
Alfalfa virus S,Allexivirus,Alphaflexiviridae
Unuamitovirus fuco1,Unuamitovirus,Mitoviridae
Grapevine berry inner necrosis virus,Trichovirus,Betaflexiviridae
Exomis microphylla latent virus,Becurtovirus,Geminiviridae
Primolicivirus Pf1,Primolicivirus,Inoviridae
Cetarhavirus phocoena,Cetarhavirus,Rhabdoviridae
Emilia yellow vein Fujian virus,Begomovirus,Geminiviridae
Alphacrustrhavirus zhejiang,Alphacrustrhavirus,Rhabdoviridae
Fowl aviadenovirus C,Aviadenovirus,Adenoviridae
Yingvirus sanxiaense,Yingvirus,Qinviridae
Bahnicevirus pedovicinum,Bahnicevirus,Steitzviridae
Eclipta yellow vein alphasatellite,Gosmusatellite,Alphasatellitidae
Goukovirus yichangense,Goukovirus,Phenuiviridae
Sabourvirus sv4HA13,Sabourvirus,Chaseviridae
Strawberry mild yellow edge virus,Potexvirus,Alphaflexiviridae
Betatorquevirus homini1,Betatorquevirus,Anelloviridae
Kuhshuvirus pelovicinum,Kuhshuvirus,Fiersviridae
Milk vetch dwarf virus,Nanovirus,Nanoviridae
Hartmanivirus scholae,Hartmanivirus,Arenaviridae
Caucasus prunus virus,Prunevirus,Betaflexiviridae
Supelovirus thailandense,Supelovirus,Lispiviridae
Pepper yellows virus,Polerovirus,Solemoviridae
Alphatorquevirus homin1,Alphatorquevirus,Anelloviridae
Gentian ovary ringspot virus,Goravirus,Virgaviridae
Ophiovirus freesiae,Ophiovirus,Aspiviridae
Exceevirus Xc38,Exceevirus,Schitoviridae
Kisquinquevirus KS5,Kisquinquevirus,Peduoviridae
East Asian Passiflora virus,Potyvirus,Potyviridae
Astrovirus MLB1,Mamastrovirus,Astroviridae
Tapikevirus pelocola,Tapikevirus,Fiersviridae
Protobacilladnavirus chaelor,Protobacilladnavirus,Bacilladnaviridae
Mirabilis leaf curl virus,Begomovirus,Geminiviridae
Pamirivirus faecium,Pamirivirus,Steigviridae
Hukuchivirus IN93,Hukuchivirus,Matshushitaviridae
Bracoviriform nigricipitis,Bracoviriform,Polydnaviriformidae
Parhipatevirus PE226,Parhipatevirus,Inoviridae
Lomnativirus arvihabitans,Lomnativirus,Steitzviridae
Asparagus virus 2,Ilarvirus,Bromoviridae
Alphapolyomavirus secumastomysis,Alphapolyomavirus,Polyomaviridae
Kehruavirus terrivivens,Kehruavirus,Steitzviridae
Webervirus call,Webervirus,Drexlerviridae
Dromedary astrovirus,Mamastrovirus,Astroviridae
Emaravirus quercus,Emaravirus,Fimoviridae
Agtrevirus SKML39,Agtrevirus,Ackermannviridae
Cyclovirus bakri,Cyclovirus,Circoviridae
Orthobunyavirus bataiense,Orthobunyavirus,Peribunyaviridae
Sowbane mosaic virus,Sobemovirus,Solemoviridae
Dyoomikronpapillomavirus 1,Dyoomikronpapillomavirus,Papillomaviridae
Limaivirus borborohabitans,Limaivirus,Steitzviridae
Tyrahlevirus caenicola,Tyrahlevirus,Solspiviridae
Pujohnavirus solivivens,Pujohnavirus,Steitzviridae
Protoparvovirus primate1,Protoparvovirus,Parvoviridae
Moineauvirus DT1,Moineauvirus,Aliceevansviridae
Kuttervirus ECML4,Kuttervirus,Ackermannviridae
Tombusvirus algeriaense,Tombusvirus,Tombusviridae
Cinqassovirus ah1,Cinqassovirus,Straboviridae
Pradovirus f20,Pradovirus,Autographiviridae
Orthobunyavirus bellavistaense,Orthobunyavirus,Peribunyaviridae
Lygehevirus pedocola,Lygehevirus,Steitzviridae
Chikungunya virus,Alphavirus,Togaviridae
Porprismacovirus chicas4,Porprismacovirus,Smacoviridae
Ideskevirus lutadaptatum,Ideskevirus,Fiersviridae
Narcissus late season yellows virus,Potyvirus,Potyviridae
Ephemerovirus febris,Ephemerovirus,Rhabdoviridae
Tequatrovirus c40,Tequatrovirus,Straboviridae
Aviadenovirus leucophthalmi,Aviadenovirus,Adenoviridae
Deltaarterivirus hemfev,Deltaarterivirus,Arteriviridae
Gequatrovirus ID52,Gequatrovirus,Microviridae
Ranunculus leaf distortion virus,Potyvirus,Potyviridae
Subterranean clover stunt alphasatellite 2,Clostunsatellite,Alphasatellitidae
Bahnicevirus geohabitans,Bahnicevirus,Steitzviridae
Gemykibivirus humas5,Gemykibivirus,Genomoviridae
Stralarivirus lychnis,Stralarivirus,Secoviridae
Sweet potato chlorotic fleck virus,Carlavirus,Betaflexiviridae
Mivirus genovaense,Mivirus,Chuviridae
Thalassavirus river4,Thalassavirus,Demerecviridae
Penguin siadenovirus A,Siadenovirus,Adenoviridae
Alphachrysovirus penicillii,Alphachrysovirus,Chrysoviridae
Scutavirus chelonidalpha5,Scutavirus,Orthoherpesviridae
Tamanovirus pelenecus,Tamanovirus,Steitzviridae
Gahlinevirus luticola,Gahlinevirus,Fiersviridae
Enterovirus K,Enterovirus,Picornaviridae
Tomato leaf curl New Delhi alphasatellite,Clecrusatellite,Alphasatellitidae
Cotton leaf curl Gezira alphasatellite,Colecusatellite,Alphasatellitidae
Bohxovirus oralis,Bohxovirus,Suoliviridae
Phomopsis vexans RNA virus,Victorivirus,Totiviridae
Scoliodonvirus scoliodontis,Scoliodonvirus,Paramyxoviridae
Anemone nepovirus A,Nepovirus,Secoviridae
Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],Betasatellite,Tolecusatellitidae
Alphafusarivirus fusarii,Alphafusarivirus,Fusariviridae
Kuhfotivirus pelohabitans,Kuhfotivirus,Atkinsviridae
Turnip leaf roll virus,Turncurtovirus,Geminiviridae
Pennisetum mosaic virus,Potyvirus,Potyviridae
Carbovirus tapeti,Carbovirus,Bornaviridae
Chinese shrew hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
Chrysochromulina brevifilum virus PW1,Prymnesiovirus,Phycodnaviridae
Betabotoulivirus epsilonplasmoparae,Betabotoulivirus,Botourmiaviridae
Cotton leaf curl Multan alphasatellite,Colecusatellite,Alphasatellitidae
Koala retrovirus,Gammaretrovirus,Retroviridae
Gredihovirus humihabitans,Gredihovirus,Steitzviridae
Oxalis yellow vein virus,Begomovirus,Geminiviridae
Human cosavirus,Cosavirus,Picornaviridae
Scleroulivirus epsilonplasmoparae,Scleroulivirus,Botourmiaviridae
Parietaria mottle virus,Ilarvirus,Bromoviridae
Streptococcus phage B0,Moineauvirus,Aliceevansviridae
Tomato leaf curl Yemen betasatellite,Betasatellite,Tolecusatellitidae
Peropuvirus pteromali,Peropuvirus,Artoviridae
Alphabaculovirus opbrumatae,Alphabaculovirus,Baculoviridae
Macavirus suidgamma4,Macavirus,Orthoherpesviridae
Red clover cryptic virus 2,Betapartitivirus,Partitiviridae
Hunnivirus A,Hunnivirus,Picornaviridae
Ostreavirus ostreidmalaco1,Ostreavirus,Malacoherpesviridae
Maculavirus vitis,Maculavirus,Tymoviridae
Intasivirus tellurivivens,Intasivirus,Solspiviridae
Beet chlorosis virus,Polerovirus,Solemoviridae
Penoulivirus malus,Penoulivirus,Botourmiaviridae
Macroptilium yellow net virus,Begomovirus,Geminiviridae
Silviavirus stau2,Silviavirus,Herelleviridae
Emiliania huxleyi virus 86,Coccolithovirus,Phycodnaviridae
Chaphamaparvovirus galliform4,Chaphamaparvovirus,Parvoviridae
Przondovirus Kp1,Przondovirus,Autographiviridae
Orthotospovirus tomatomaculae,Orthotospovirus,Tospoviridae
Fujinami sarcoma virus,Alpharetrovirus,Retroviridae
Tropivirus A,Tropivirus,Picornaviridae
Cyvirus cyprinidallo2,Cyvirus,Alloherpesviridae
Clover yellow vein virus,Potyvirus,Potyviridae
Simian mastadenovirus H,Mastadenovirus,Adenoviridae
Penicillimonavirus epsilonplasmoparae,Penicillimonavirus,Mymonaviridae
Coniothyrium minitans RNA virus,Victorivirus,Totiviridae
Sida common mosaic virus,Begomovirus,Geminiviridae
Tunavirus ADB2,Tunavirus,Drexlerviridae
Orthoebolavirus taiense,Orthoebolavirus,Filoviridae
Actinidia virus A,Vitivirus,Betaflexiviridae
Jesfedecavirus phi3,Jesfedecavirus,Demerecviridae
Insemevirus tami,Nasenivirus,Mesoniviridae
Badnavirus thetavirgamusae,Badnavirus,Caulimoviridae
Reptarenavirus commune,Reptarenavirus,Arenaviridae
Tlsvirus stevie,Tlsvirus,Drexlerviridae
Cytomegalovirus macacinebeta8,Cytomegalovirus,Orthoherpesviridae
Kayvirus G15,Kayvirus,Herelleviridae
Brikhyavirus terrivicinum,Brikhyavirus,Steitzviridae
Rohsdrivirus humadaptatum,Rohsdrivirus,Steitzviridae
Simian immunodeficiency virus,Lentivirus,Retroviridae
Przondovirus kpssk3,Przondovirus,Autographiviridae
Lisianthus enation leaf curl virus,Begomovirus,Geminiviridae
Sonfela circovirus 2,Circovirus,Circoviridae
Adahmuvirus asiocola,Adahmuvirus,Steitzviridae
Ephemerovirus berrimah,Ephemerovirus,Rhabdoviridae
Badnavirus betacolocalasiae,Badnavirus,Caulimoviridae
Sida golden mottle virus,Begomovirus,Geminiviridae
Gredihovirus neoterradaptatum,Gredihovirus,Steitzviridae
Banmivirus MoaBV,Banmivirus,Betaflexiviridae
Alphanucleorhabdovirus maydis,Alphanucleorhabdovirus,Rhabdoviridae
Sclerotimonavirus betabotrytidis,Sclerotimonavirus,Mymonaviridae
Hepacivirus platyrrhini,Hepacivirus,Flaviviridae
Marafivirus citri,Marafivirus,Tymoviridae
Rodent stool-associated circular genome virus,Glamdringvirus,Vilyaviridae
Scleroulivirus omicronplasmoparae,Scleroulivirus,Botourmiaviridae
Betapolyomavirus myolucifugus,Betapolyomavirus,Polyomaviridae
Henbane mosaic virus,Potyvirus,Potyviridae
Gegavirus ST15OXA48phi141,Gegavirus,Peduoviridae
Mahqeavirus limihabitans,Mahqeavirus,Fiersviridae
Tomato apical stunt viroid,Pospiviroid,Pospiviroidae
Penicillimonavirus alphapenicillii,Penicillimonavirus,Mymonaviridae
Dyodeltapapillomavirus 1,Dyodeltapapillomavirus,Papillomaviridae
Rosenblumvirus SLPW,Rosenblumvirus,Rountreeviridae
Jeilongvirus erinacei,Jeilongvirus,Paramyxoviridae
Lumosvirus whirlwind,Lumosvirus,Vilmaviridae
Escherichia phage St11Ph5,Gamaleyavirus,Schitoviridae
Bean yellow mosaic Mexico virus,Begomovirus,Geminiviridae
Betafusarivirus hispaniae,Betafusarivirus,Fusariviridae
Temfrudevirus temperatum,Temfrudevirus,Amesuviridae
Protoambidensovirus lepidopteran1,Protoambidensovirus,Parvoviridae
Penicillimonavirus gammaplasmopara,Penicillimonavirus,Mymonaviridae
Lactarius rufus orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae
Primate T-lymphotropic virus 2,Deltaretrovirus,Retroviridae
Mobatvirus xuansonense,Mobatvirus,Hantaviridae
Mamastrovirus 7,Mamastrovirus,Astroviridae
Kuttervirus SH19,Kuttervirus,Ackermannviridae
Tymovirus petuniae,Tymovirus,Tymoviridae
Peduovirus YPM22,Peduovirus,Peduoviridae
Rotavirus J,Rotavirus,Sedoreoviridae
Phlebovirus zerdaliense,Phlebovirus,Phenuiviridae
Tequatrovirus gee9062,Tequatrovirus,Straboviridae
Tohvovirus borborohabitans,Tohvovirus,Fiersviridae
Betafusarivirus iberiae,Betafusarivirus,Fusariviridae
Betascleroulivirus alphaplasmoparae,Betascleroulivirus,Botourmiaviridae
Phikmvvirus kF77,Phikmvvirus,Autographiviridae
Alphapolyomavirus tertarplanisrostris,Alphapolyomavirus,Polyomaviridae
Streptococcus phage CHPC1045,Moineauvirus,Aliceevansviridae
Weheuvirus lutivivens,Weheuvirus,Steitzviridae
Sulfolobus spindle-shaped virus 1,Alphafusellovirus,Fuselloviridae
Bidens mottle virus,Potyvirus,Potyviridae
Vernonia yellow vein virus,Begomovirus,Geminiviridae
Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae
Tymovirus chiltepini,Tymovirus,Tymoviridae
Lyssavirus lagos,Lyssavirus,Rhabdoviridae
Tenuivirus oryzaclavatae,Tenuivirus,Phenuiviridae
Binucleate Rhizoctonia mitovirus K1,Mitovirus,Mitoviridae
Xuanwuvirus P884B11,Xuanwuvirus,Peduoviridae
Betapapillomavirus 1,Betapapillomavirus,Papillomaviridae
Bacelvirus phi46tres,Bacelvirus,Pachyviridae
Cordyline virus 2,Velarivirus,Closteroviridae
Karamvirus pg7,Karamvirus,Straboviridae
Chivirus cv35,Chivirus,Casjensviridae
Rose yellow mosaic virus,Roymovirus,Potyviridae
Icerudivirus SIRV1,Icerudivirus,Rudiviridae
Magoulivirus alphabotrytidis,Magoulivirus,Botourmiaviridae
Bean common mosaic necrosis virus,Potyvirus,Potyviridae
Lostrhavirus hyalomma,Lostrhavirus,Rhabdoviridae
Fusarium asiaticum victorivirus 1,Victorivirus,Totiviridae
Cbunavirus nepra,Cbunavirus,Schitoviridae
Citrus yellow vein clearing virus,Potexvirus,Alphaflexiviridae
Tobacco virus 2,Polerovirus,Solemoviridae
Maclura mosaic virus,Macluravirus,Potyviridae
Pterovirus chulinense,Pterovirus,Chuviridae
Zucchini shoestring virus,Potyvirus,Potyviridae
Vibrio phage VPUSM 8,Longwoodvirus,Peduoviridae
Stenotrophomonas phage Paxi,Pokkenvirus,Schitoviridae
Novirhabdovirus snakehead,Novirhabdovirus,Rhabdoviridae
Alpharicinrhavirus bole,Alpharicinrhavirus,Rhabdoviridae
Psimevirus pedocola,Psimevirus,Fiersviridae
Sclerotimonavirus alternariae,Sclerotimonavirus,Mymonaviridae
Nepovirus arabis,Nepovirus,Secoviridae
Sclerotinia minor betaendornavirus 1,Betaendornavirus,Endornaviridae
Potyvirus pleioblasti,Potyvirus,Potyviridae
Onohmuvirus pelenecus,Onohmuvirus,Fiersviridae
Circovirus chauvesouris,Circovirus,Circoviridae
Bahscuvirus limivicinum,Bahscuvirus,Fiersviridae
Icumivirus limivivens,Icumivirus,Fiersviridae
Rosavirus A,Rosavirus,Picornaviridae
Pujohnavirus geovicinum,Pujohnavirus,Steitzviridae
Primolicivirus Pf8,Primolicivirus,Inoviridae
Obhoarovirus terradaptatum,Obhoarovirus,Blumeviridae
Tequatrovirus T4,Tequatrovirus,Straboviridae
Duamitovirus boci3,Duamitovirus,Mitoviridae
Parsley severe stunt associated virus,Nanovirus,Nanoviridae
Anativirus A,Anativirus,Picornaviridae
Sugarcane streak virus,Mastrevirus,Geminiviridae
Nepovirus nigranuli,Nepovirus,Secoviridae
Pepper leaf curl Yunnan virus satellite DNA beta,Betasatellite,Tolecusatellitidae
Copernicusvirus Efmus3,Copernicusvirus,Rountreeviridae
Kunsagivirus A,Kunsagivirus,Picornaviridae
Ageratum enation alphasatellite,Colecusatellite,Alphasatellitidae
Bromdenvirus dyoedafos,Bromdenvirus,Vilmaviridae
Circovirus bear,Circovirus,Circoviridae
Saccharum streak virus,Mastrevirus,Geminiviridae
Varicellovirus bovinealpha5,Varicellovirus,Orthoherpesviridae
Comovirus capsici,Comovirus,Secoviridae
Magoulivirus omegaplasmoparae,Magoulivirus,Botourmiaviridae
Clerodendrum golden mosaic Jiangsu virus,Begomovirus,Geminiviridae
Gemykrogvirus galga1,Gemykrogvirus,Genomoviridae
Tomato leaf curl Anjouan virus,Begomovirus,Geminiviridae
Ovine mastadenovirus C,Mastadenovirus,Adenoviridae
Murmansk microtuspox virus,Centapoxvirus,Poxviridae
Badnavirus maculadracaenae,Badnavirus,Caulimoviridae
Stompelvirus RPSC1,Stompelvirus,Autographiviridae
Gemykibivirus rhina1,Gemykibivirus,Genomoviridae
Ermolevavirus PGT2,Ermolevavirus,Autographiviridae
Mamastrovirus 15,Mamastrovirus,Astroviridae
Pelarspovirus clematis,Pelarspovirus,Tombusviridae
Fig cryptic virus,Deltapartitivirus,Partitiviridae
Yongunavirus yong1,Yongunavirus,Peduoviridae
Andihavirus borborohabitans,Andihavirus,Solspiviridae
Duamitovirus bevu1,Duamitovirus,Mitoviridae
Roseolovirus humanbeta7,Roseolovirus,Orthoherpesviridae
Vectrevirus AAPEc6,Vectrevirus,Autographiviridae
Cardiospermum yellow leaf curl betasatellite,Betasatellite,Tolecusatellitidae
Chaphamaparvovirus rodent1,Chaphamaparvovirus,Parvoviridae
Alphatorquevirus homin7,Alphatorquevirus,Anelloviridae
Phikmvvirus Ab05,Phikmvvirus,Autographiviridae
Penoulivirus etaplasmoparae,Penoulivirus,Botourmiaviridae
Eriocheir sinensis reovirus,Cardoreovirus,Sedoreoviridae
Ephemerovirus yata,Ephemerovirus,Rhabdoviridae
Western equine encephalitis virus,Alphavirus,Togaviridae
Rosellinia necatrix betaendornavirus 1,Betaendornavirus,Endornaviridae
Macavirus ovinegamma2,Macavirus,Orthoherpesviridae
Brussowvirus bvO1205,Brussowvirus,Aliceevansviridae
Gemycircularvirus sclero1,Gemycircularvirus,Genomoviridae
Mammarenavirus ryukyuense,Mammarenavirus,Arenaviridae
Watermelon crinkle leaf-associated virus 2,Coguvirus,Phenuiviridae
Torque teno virus 8,Alphatorquevirus,Anelloviridae
Alphapapillomavirus 6,Alphapapillomavirus,Papillomaviridae
Mischivirus C,Mischivirus,Picornaviridae
Vanilla distortion mosaic virus,Potyvirus,Potyviridae
Alphahypovirus alternariae,Alphahypovirus,Hypoviridae
Streptococcus phage SW1151,Brussowvirus,Aliceevansviridae
Orthobunyavirus faceyense,Orthobunyavirus,Peribunyaviridae
Bequatrovirus troll,Bequatrovirus,Herelleviridae
Shuravirus limicola,Shuravirus,Fiersviridae
Rosenblumvirus S241,Rosenblumvirus,Rountreeviridae
Comovirus siliquae,Comovirus,Secoviridae
Common bean mottle virus,Begomovirus,Geminiviridae
Unuamitovirus diru1,Unuamitovirus,Mitoviridae
Streptococcus phage SW3,Moineauvirus,Aliceevansviridae
Garlic virus D,Allexivirus,Alphaflexiviridae
Aichivirus E,Kobuvirus,Picornaviridae
Bluegill hepatitis B virus,Metahepadnavirus,Hepadnaviridae
Alphahypovirus sacchari,Alphahypovirus,Hypoviridae
Garlic virus C,Allexivirus,Alphaflexiviridae
Scleroulivirus thetaplasmoparae,Scleroulivirus,Botourmiaviridae
Simplexvirus leporidalpha4,Simplexvirus,Orthoherpesviridae
Acidianus filamentous virus 3,Betalipothrixvirus,Lipothrixviridae
Mimivirus-dependent virus Sputnik,Sputnikvirus,Lavidaviridae
Gaillardia latent virus,Carlavirus,Betaflexiviridae
Epseptimavirus seafire,Epseptimavirus,Demerecviridae
Khurdivirus volgaense,Khurdivirus,Peribunyaviridae
Vesiculovirus isfahan,Vesiculovirus,Rhabdoviridae
Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
Muromegalovirus muridbeta1,Muromegalovirus,Orthoherpesviridae
Cactus carlavirus 2,Carlavirus,Betaflexiviridae
Mardivirus gallidalpha3,Mardivirus,Orthoherpesviridae
Streptococcus phage 7A5,Moineauvirus,Aliceevansviridae
Gredihovirus terrivicinum,Gredihovirus,Steitzviridae
Minhovirus IME199,Minhovirus,Rountreeviridae
Mivirus suffolkense,Mivirus,Chuviridae
Areca palm necrotic ringspot virus,Arepavirus,Potyviridae
Gemykolovirus easlu1,Gemykolovirus,Genomoviridae
Umbravirus ixeridii,Umbravirus,Tombusviridae
Saffron latent virus,Potyvirus,Potyviridae
Rtpvirus Rtp,Rtpvirus,Drexlerviridae
Cytorhabdovirus maysflavostriatis,Cytorhabdovirus,Rhabdoviridae
Clivia carlavirus A,Carlavirus,Betaflexiviridae
Apple dimple fruit viroid,Apscaviroid,Pospiviroidae
Niginuvirus limadaptatum,Niginuvirus,Atkinsviridae
Catharanthus mosaic virus,Potyvirus,Potyviridae
Capraria yellow spot virus,Begomovirus,Geminiviridae
Sepunavirus SEP1,Sepunavirus,Herelleviridae
Magoulivirus sigmaplasmoparae,Magoulivirus,Botourmiaviridae
Whitefly-associated begomovirus 3,Begomovirus,Geminiviridae
Berlinvirus Yepe2,Berlinvirus,Autographiviridae
Gemycircularvirus blabi1,Gemycircularvirus,Genomoviridae
Burzaovirus faecalis,Burzaovirus,Suoliviridae
Feldmannia species virus,Phaeovirus,Phycodnaviridae
Kuttervirus SeB,Kuttervirus,Ackermannviridae
Cucurbit aphid-borne yellows virus,Polerovirus,Solemoviridae
Epizootic hemorrhagic disease virus,Orbivirus,Sedoreoviridae
Cotton leaf curl Bangalore betasatellite,Betasatellite,Tolecusatellitidae
Britarnavirus 1,Salisharnavirus,Marnaviridae
Butterbur mosaic virus,Carlavirus,Betaflexiviridae
Bahnicevirus tellurivivens,Bahnicevirus,Steitzviridae
Okavirus flavicapitis,Okavirus,Roniviridae
Ageratum enation virus,Begomovirus,Geminiviridae
Orthobunyavirus mpokoense,Orthobunyavirus,Peribunyaviridae
Mihkrovirus solenecus,Mihkrovirus,Fiersviridae
Invertebrate iridescent virus 3,Chloriridovirus,Iridoviridae
Cebadecemvirus phi10una,Cebadecemvirus,Assiduviridae
Erythroparvovirus pinniped1,Erythroparvovirus,Parvoviridae
Salmonella phage vB_STy-RN5i1,Berlinvirus,Autographiviridae
Copernicusvirus Ef73,Copernicusvirus,Rountreeviridae
Cassava Torrado-like virus,Torradovirus,Secoviridae
Brucesealvirus ZP2,Brucesealvirus,Guelinviridae
Infectious spleen and kidney necrosis virus,Megalocytivirus,Iridoviridae
Allium virus X,Potexvirus,Alphaflexiviridae
Orthobunyavirus maprikense,Orthobunyavirus,Peribunyaviridae
Tent-making bat hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
Melochia mosaic virus,Begomovirus,Geminiviridae
Cucurbit chlorotic yellows virus,Crinivirus,Closteroviridae
Colorado tick fever coltivirus,Coltivirus,Spinareoviridae
Streptococcus phage SW2,Moineauvirus,Aliceevansviridae
Wheat eqlid mosaic virus,Tritimovirus,Potyviridae
Jatropha mosaic India virus,Begomovirus,Geminiviridae
Valinorvirus arda,Valinorvirus,Nenyaviridae
Tigrvirus phiE094,Tigrvirus,Peduoviridae
Ribes americanum virus A,Ravavirus,Betaflexiviridae
Sweet potato leaf curl deltasatellite 1,Deltasatellite,Tolecusatellitidae
Magoulivirus epsilonplasmoparae,Magoulivirus,Botourmiaviridae
Chalconvirus acg2014e,Chalconvirus,Kyanoviridae
Circovirus swan,Circovirus,Circoviridae
Iflavirus aladeformis,Iflavirus,Iflaviridae
Vellamovirus rhodeisland44,Vellamovirus,Kyanoviridae
Orthoflavivirus powassanense,Orthoflavivirus,Flaviviridae
Teetrevirus KPN3,Teetrevirus,Autographiviridae
Teschovirus A,Teschovirus,Picornaviridae
Orthotospovirus cucurbichlorosis,Orthotospovirus,Tospoviridae
Lehptevirus borboradaptatum,Lehptevirus,Atkinsviridae
Streptococcus phage P9851,Moineauvirus,Aliceevansviridae
Hibiscus vein enation betasatellite,Betasatellite,Tolecusatellitidae
Bifseptvirus Bf7,Bifseptvirus,Autographiviridae
Alphanecrovirus solani,Alphanecrovirus,Tombusviridae
Hartmanivirus quadrati,Hartmanivirus,Arenaviridae
Paramecium bursaria Chlorella virus NY2A,Chlorovirus,Phycodnaviridae
Baylorvirus PHL101,Baylorvirus,Peduoviridae
Tobacco leaf curl Thailand virus,Begomovirus,Geminiviridae
Tequatrovirus geeight,Tequatrovirus,Straboviridae
Maize yellow dwarf virus RMV,Polerovirus,Solemoviridae
Webervirus JY917,Webervirus,Drexlerviridae
Blechum interveinal chlorosis virus,Begomovirus,Geminiviridae
Intasivirus peladaptatum,Intasivirus,Solspiviridae
Elm mottle virus,Ilarvirus,Bromoviridae
Sanfarnavirus 2,Locarnavirus,Marnaviridae
Centrosema yellow spot virus,Begomovirus,Geminiviridae
Alphabaculovirus dijunonis,Alphabaculovirus,Baculoviridae
Corchorus yellow vein mosaic virus,Begomovirus,Geminiviridae
Dhakavirus JS10,Dhakavirus,Straboviridae
Sambucus virus D,Carlavirus,Betaflexiviridae
Lupinus mosaic virus,Potyvirus,Potyviridae
Humulus japonicus latent virus,Ilarvirus,Bromoviridae
Potato virus H,Carlavirus,Betaflexiviridae
Cripavirus mortiferum,Cripavirus,Dicistroviridae
Equine mastadenovirus B,Mastadenovirus,Adenoviridae
Mammarenavirus amapariense,Mammarenavirus,Arenaviridae
Banana bract mosaic virus,Potyvirus,Potyviridae
Ageratum Yellow vein China virus - OX1,Begomovirus,Geminiviridae
Simplexvirus papiinealpha2,Simplexvirus,Orthoherpesviridae
Alphapapillomavirus 1,Alphapapillomavirus,Papillomaviridae
Cleome golden mosaic virus,Begomovirus,Geminiviridae
Leucotheavirus syn30,Leucotheavirus,Kyanoviridae
Epseptimavirus S133,Epseptimavirus,Demerecviridae
Pseudomonas virus Yua,Yuavirus,Mesyanzhinovviridae
Macaca mulatta papillomavirus 6,Alphapapillomavirus,Papillomaviridae
Mycobacterium virus Wildcat,Wildcatvirus,Vilmaviridae
Gredihovirus humicola,Gredihovirus,Steitzviridae
Aurantiochytrium single-stranded RNA virus 01,Labyrnavirus,Marnaviridae
Tomato leaf curl Patna virus,Begomovirus,Geminiviridae
Ageratum yellow vein Taiwan virus,Begomovirus,Geminiviridae
Tomato bright yellow mottle virus,Begomovirus,Geminiviridae
Lineavirus I22,Lineavirus,Inoviridae
Madariaga virus,Alphavirus,Togaviridae
Arctuvirus edaphovivens,Arctuvirus,Steitzviridae
Rhadinovirus atelinegamma2,Rhadinovirus,Orthoherpesviridae
Tuberose mild mosaic virus,Potyvirus,Potyviridae
Warrego virus,Orbivirus,Sedoreoviridae
Brudgevirus defluviicola,Brudgevirus,Fiersviridae
Synedrella leaf curl alphasatellite,Colecusatellite,Alphasatellitidae
Gammatorquevirus homidi1,Gammatorquevirus,Anelloviridae
Alphatorquevirus homin10,Alphatorquevirus,Anelloviridae
Boscovirus hippoboscidae,Boscovirus,Chuviridae
Bocaparvovirus carnivoran3,Bocaparvovirus,Parvoviridae
Bronvirus silverleaf,Bronvirus,Vilmaviridae
Yonseivirus soft,Yonseivirus,Casjensviridae
Fluruvirus limivicinum,Fluruvirus,Steitzviridae
Orthoflavivirus kadamense,Orthoflavivirus,Flaviviridae
Epseptimavirus 100268sal2,Epseptimavirus,Demerecviridae
Pineapple mealybug wilt-associated virus 1,Ampelovirus,Closteroviridae
Tequatrovirus e112,Tequatrovirus,Straboviridae
Gredihovirus edaphovicinum,Gredihovirus,Steitzviridae
