Species,Genus,Family
Eptesipox virus,Vespertilionpoxvirus,Poxviridae
Vernonia yellow vein Fujian alphasatellite,Gosmusatellite,Alphasatellitidae
Kempsvovirus caenivivens,Kempsvovirus,Atkinsviridae
Lupine bocavirus,Bocaparvovirus,Parvoviridae
Heron hepatitis B virus,Avihepadnavirus,Hepadnaviridae
Sukkupivirus idyn,Sukkupivirus,Zierdtviridae
Arurhavirus santabarbara,Arurhavirus,Rhabdoviridae
Phaseolus vulgaris alphaendornavirus 3,Alphaendornavirus,Endornaviridae
Rio Negro virus,Alphavirus,Togaviridae
Gemykibivirus haeme4,Gemykibivirus,Genomoviridae
Carjivirus communis,Carjivirus,Intestiviridae
Carlavirus BiCV,Carlavirus,Betaflexiviridae
Tomato leaf curl deltasatellite,Deltasatellite,Tolecusatellitidae
Laulavirus laurelense,Laulavirus,Phenuiviridae
Alphachrysovirus chrysothricis,Alphachrysovirus,Chrysoviridae
Curiovirus iriri,Curiovirus,Rhabdoviridae
Mirabilis jalapa mottle virus,Carlavirus,Betaflexiviridae
Adeno-associated virus,Dependoparvovirus,Parvoviridae
Eceepunavirus EcP1,Eceepunavirus,Schitoviridae
Lettuce chlorosis virus,Crinivirus,Closteroviridae
Bocaparvovirus primate3,Bocaparvovirus,Parvoviridae
Tomato leaf curl Seychelles virus,Begomovirus,Geminiviridae
Tupanvirus deep ocean,Tupanvirus,Mimiviridae
Phlebovirus arumowotense,Phlebovirus,Phenuiviridae
Alphanudivirus dromelanogasteris,Alphanudivirus,Nudiviridae
Euphorbia mosaic virus,Begomovirus,Geminiviridae
Kuttervirus STW77,Kuttervirus,Ackermannviridae
Betatectivirus Wip1,Betatectivirus,Tectiviridae
Weheuvirus geohabitans,Weheuvirus,Steitzviridae
Jericarnavirus A,Sogarnavirus,Marnaviridae
Yam mosaic virus,Potyvirus,Potyviridae
Ollusvirus coleopteri,Ollusvirus,Aliusviridae
Bodo saltans virus,Klosneuvirus,Mimiviridae
Botrytis virus X,Botrexvirus,Alphaflexiviridae
Cahtebovirus humivicinum,Cahtebovirus,Atkinsviridae
Bracchivirus U2F1,Bracchivirus,Peduoviridae
Simian mastadenovirus C,Mastadenovirus,Adenoviridae
Ophiovirus ranunculi,Ophiovirus,Aspiviridae
Redspotted grouper nervous necrosis virus,Betanodavirus,Nodaviridae
European brown hare syndrome virus,Lagovirus,Caliciviridae
Peach chlorotic mottle virus,Foveavirus,Betaflexiviridae
Panjvirus Spp16,Panjvirus,Autographiviridae
Solendovirus venanicotianae,Solendovirus,Caulimoviridae
Winklervirus xtwenty,Winklervirus,Straboviridae
Siminovitchvirus shanette,Siminovitchvirus,Herelleviridae
Botoulivirus deltabotrytidis,Botoulivirus,Botourmiaviridae
Przondovirus SHKp152234,Przondovirus,Autographiviridae
Haloferacalesvirus HJTV2,Haloferacalesvirus,Hafunaviridae
Oscivirus A,Oscivirus,Picornaviridae
Orthobunyavirus acaraense,Orthobunyavirus,Peribunyaviridae
Tulanevirus 50ahydr13pp,Tulanevirus,Straboviridae
Betapolyomavirus secudobsoniae,Betapolyomavirus,Polyomaviridae
Cherry symptomless virus,Trichovirus,Betaflexiviridae
Sulfolobus alphaportoglobovirus 1,Alphaportoglobovirus,Portogloboviridae
Fobrovirus VP24,Fibrovirus,Inoviridae
Betanecrovirus porri,Betanecrovirus,Tombusviridae
Heterobasidion partitivirus 1,Alphapartitivirus,Partitiviridae
Przondovirus K5,Przondovirus,Autographiviridae
Magoulivirus lambdaplasmoparae,Magoulivirus,Botourmiaviridae
Hermit mivirus,Mivirus,Chuviridae
Alphatorquevirus cerco6,Alphatorquevirus,Anelloviridae
Dependoparvovirus carnivoran1,Dependoparvovirus,Parvoviridae
Aquareovirus G,Aquareovirus,Spinareoviridae
Adahivirus asienecus,Adahivirus,Fiersviridae
Donkey orchid virus A,Potyvirus,Potyviridae
Duamitovirus boci1,Duamitovirus,Mitoviridae
Aurivirus haliotidmalaco1,Aurivirus,Malacoherpesviridae
Army ant associated cyclovirus 4,Cyclovirus,Circoviridae
Ascovirus TnAV2a,Ascovirus,Ascoviridae
Bemisia tabaci arlivirus 2,Arlivirus,Lispiviridae
Torradovirus cucurbitae,Torradovirus,Secoviridae
Kakivirus PS3,Kakivirus,Autographiviridae
Cyrtanthus elatus virus A,Potyvirus,Potyviridae
Morbillivirus caprinae,Morbillivirus,Paramyxoviridae
